1842 documents , 1 concepts , 4828 context features (114548) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.16722449335414988   T=0,K=0:  13841 (0.001) ; 15893 (0.001) ; 47917 (0.001) ; 98323 (0.001) ; nlsj49147 (0.001) ; 73111 (0.001) ; 71308 (0.001) ; 78757 (0.001) ; 98684 (0.001) ; 83486 (0.001) ; 
0.19262768152633733   T=1,K=0:  86219 (0.002) ; 15893 (0.002) ; 13841 (0.002) ; 83486 (0.002) ; 24856 (0.001) ; 48770 (0.001) ; 33819 (0.001) ; 71308 (0.001) ; 68483 (0.001) ; 51148 (0.001) ; 
0.1303298781395597   T=2,K=0:  33819 (0.006) ; 114624 (0.005) ; 84234 (0.005) ; 86219 (0.005) ; 24856 (0.004) ; 51148 (0.003) ; 8909 (0.003) ; nlsj32160 (0.003) ; 78757 (0.002) ; 115887 (0.002) ; 
0.1042762433353743   T=3,K=0:  84234 (0.015) ; 24856 (0.010) ; nlsj32160 (0.009) ; 114624 (0.009) ; 33819 (0.007) ; 20621 (0.005) ; 51148 (0.005) ; 86219 (0.005) ; 78757 (0.003) ; 45996 (0.003) ; 
0.0955741769484291   T=4,K=0:  84234 (0.016) ; 66173 (0.014) ; nlsj32160 (0.013) ; 8665 (0.009) ; 22209 (0.009) ; 45996 (0.008) ;  (0.007) ; 86219 (0.005) ; 20621 (0.004) ; 56089 (0.004) ; 
0.15547035045284072   T=5,K=0:  45996 (0.017) ; 84234 (0.010) ; 22209 (0.009) ; 106566 (0.008) ; nlsj32160 (0.006) ;  (0.006) ; 8665 (0.006) ; 71308 (0.005) ; 85306 (0.005) ; 86219 (0.005) ; 
0.07873589880041655   T=6,K=0:  84234 (0.013) ; 45996 (0.013) ; 71308 (0.011) ; 22209 (0.011) ; 85306 (0.009) ;  (0.007) ; 8665 (0.006) ; 15893 (0.006) ; 8909 (0.006) ; 11072 (0.005) ; 
0.0928950667381031   T=7,K=0:  85306 (0.019) ; 22209 (0.016) ; 84234 (0.016) ; 45996 (0.014) ; 71308 (0.011) ;  (0.009) ; 8665 (0.009) ; 63772 (0.008) ; 8909 (0.008) ; 62204 (0.007) ; 
0.11163505863826044   T=8,K=0:   (0.034) ; 85306 (0.025) ; 116416 (0.018) ; 84234 (0.017) ; 63772 (0.016) ; 22209 (0.015) ; 45996 (0.015) ; 64866 (0.014) ; 84494 (0.012) ; 79223 (0.011) ; 
0.11636915093087055   T=9,K=0:   (0.034) ; 68641 (0.022) ; 45996 (0.022) ; 28566 (0.017) ; 84234 (0.016) ; 85306 (0.016) ; 116416 (0.016) ; 22209 (0.012) ; 112559 (0.011) ; 72627 (0.008) ; 
0.10015696202553244   T=10,K=0:   (0.015) ; 45996 (0.010) ; 84234 (0.008) ; 28566 (0.006) ; 72627 (0.006) ; 116416 (0.005) ; 33819 (0.005) ; 112720 (0.005) ; 22209 (0.005) ; 85306 (0.005) ; 
0.048040202216813356   T=11,K=0:  102000 (0.014) ; 41416 (0.007) ; 45996 (0.006) ;  (0.006) ; 72627 (0.006) ; 84234 (0.006) ; 19789 (0.004) ; 85306 (0.004) ; 112720 (0.004) ; 15893 (0.004) ; 
0.05208548988642049   T=12,K=0:  41416 (0.012) ; 84234 (0.010) ; 102000 (0.007) ; 72627 (0.007) ; 45996 (0.006) ;  (0.005) ; 20621 (0.005) ; 64866 (0.005) ; 112720 (0.004) ; 28566 (0.004) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  84234 (0.010) ;  (0.010) ; 45996 (0.009) ; 85306 (0.007) ; 22209 (0.007) ; 28566 (0.004) ; 8665 (0.004) ; 20621 (0.004) ; 68641 (0.004) ; 116416 (0.004) ; 

0.15818254180189678   T=0,K=1:  38513 (0.002) ; 64703 (0.002) ; 84475 (0.001) ; 31565 (0.001) ; 51358 (0.001) ; 65174 (0.001) ; 30814 (0.001) ;  (0.001) ; 76184 (0.001) ; 59781 (0.001) ; 
0.09340546602247682   T=1,K=1:  64703 (0.003) ; 65552 (0.002) ; 30814 (0.002) ; 38513 (0.002) ; 103922 (0.002) ; 51358 (0.002) ; 28592 (0.002) ; 42381 (0.002) ; 42830 (0.002) ; 76184 (0.002) ; 
0.07735077172841046   T=2,K=1:   (0.007) ; 30814 (0.005) ; 103922 (0.004) ; 28566 (0.004) ; nlsj76838 (0.003) ; 45996 (0.003) ; 24132 (0.003) ; 68641 (0.002) ; 42830 (0.002) ; 15088 (0.002) ; 
0.07950254921994149   T=3,K=1:   (0.017) ; 45996 (0.016) ; 28566 (0.011) ; 30814 (0.010) ; 103922 (0.005) ; 83774 (0.005) ; 63300 (0.003) ; 15088 (0.003) ; 28592 (0.003) ; 72627 (0.003) ; 
0.10971798312859662   T=4,K=1:   (0.054) ; 45996 (0.038) ; 28566 (0.034) ; 85306 (0.017) ; 22209 (0.011) ; 83774 (0.010) ; nlsj107632 (0.010) ; 6325 (0.007) ; 86112 (0.005) ; 63300 (0.004) ; 
0.0947097990569573   T=5,K=1:  45996 (0.025) ; 85306 (0.023) ;  (0.019) ; 28566 (0.014) ; 22209 (0.013) ; nlsj107632 (0.006) ; 46646 (0.005) ; 86112 (0.005) ; 6325 (0.004) ; 16864 (0.004) ; 
0.06284432880583876   T=6,K=1:  45996 (0.031) ;  (0.027) ; 22209 (0.018) ; 28566 (0.017) ; 85306 (0.015) ; 11072 (0.006) ; 86112 (0.006) ; 26197 (0.006) ; 48051 (0.005) ; 63772 (0.005) ; 
0.08706090716973276   T=7,K=1:   (0.033) ; 45996 (0.020) ; 85306 (0.020) ; 28566 (0.016) ; 22209 (0.009) ; 63772 (0.008) ; 71308 (0.007) ; 26197 (0.007) ; 86112 (0.007) ; 65552 (0.006) ; 
