1711 documents , 1 concepts , 3654 context features (26886) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.11380656712351431   T=0,K=0:  62204 (0.030) ; nlsj76838 (0.027) ; 26921 (0.024) ; 8665 (0.019) ;  (0.016) ; 84234 (0.015) ; 26447 (0.014) ; 45996 (0.013) ; 11583 (0.012) ; nlsj53326 (0.012) ; 
0.051496485264072835   T=1,K=0:  nlsj76838 (0.027) ; 26921 (0.026) ;  (0.022) ; 62204 (0.020) ; 45996 (0.018) ; 84234 (0.016) ; 8665 (0.016) ; nlsj53326 (0.012) ; nlsj61372 (0.012) ; 22210 (0.011) ; 
0.09091800718057563   T=2,K=0:  nlsj76838 (0.028) ; 62204 (0.026) ; 8665 (0.021) ; 26921 (0.020) ;  (0.019) ; nlsj53326 (0.015) ; 84234 (0.015) ; 26447 (0.014) ; 11583 (0.014) ; 45996 (0.013) ; 
0.1487469300868246   T=3,K=0:   (0.023) ; nlsj76838 (0.021) ; 8665 (0.020) ; 84234 (0.020) ; 45996 (0.020) ; 11583 (0.019) ; 62204 (0.017) ; 26921 (0.017) ; 26447 (0.012) ; nlsj53326 (0.011) ; 
0.14373694633712017   T=4,K=0:   (0.028) ; 62204 (0.022) ; 84234 (0.021) ; 8665 (0.020) ; 45996 (0.019) ; 26921 (0.016) ; 11583 (0.015) ; 31161 (0.011) ; nlsj76838 (0.010) ; 26447 (0.010) ; 
0.07864400265810574   T=5,K=0:   (0.029) ; 8665 (0.023) ; 45996 (0.022) ; 84234 (0.018) ; 62204 (0.015) ; 31161 (0.014) ; nlsj76838 (0.014) ; 86219 (0.013) ; nlsj61372 (0.012) ; 24292 (0.012) ; 
0.0948862618586519   T=6,K=0:   (0.032) ; 45996 (0.027) ; 8665 (0.017) ; nlsj61372 (0.013) ; 31161 (0.013) ; 62204 (0.013) ; 8909 (0.013) ; 65552 (0.013) ; 110639 (0.013) ; 86219 (0.011) ; 
0.07419106791450414   T=7,K=0:  45996 (0.025) ; nlsj61372 (0.018) ;  (0.016) ; 110639 (0.015) ; 8665 (0.015) ; 86219 (0.013) ; nlsj76838 (0.013) ; 84234 (0.013) ; nlsj32160 (0.012) ; 8909 (0.012) ; 
0.0798917142762397   T=8,K=0:  45996 (0.018) ; nlsj76838 (0.017) ; 75555 (0.016) ; 8665 (0.016) ; nlsj61372 (0.015) ; 110639 (0.014) ; 84234 (0.012) ;  (0.011) ; 86219 (0.011) ; 260 (0.010) ; 
0.16047447111163063   T=9,K=0:  8665 (0.017) ;  (0.016) ; 110639 (0.014) ; 75555 (0.014) ; 84234 (0.013) ; nlsj61372 (0.013) ; nlsj76838 (0.010) ; 11583 (0.010) ; 45996 (0.010) ; 72610 (0.010) ; 
0.14347451045123444   T=10,K=0:  8665 (0.019) ; nlsj61372 (0.019) ;  (0.016) ; 24292 (0.015) ; 110639 (0.014) ; 42830 (0.012) ; 62204 (0.011) ; nlsj76838 (0.010) ; 75555 (0.010) ; 65552 (0.009) ; 
0.07033891116297764   T=11,K=0:  8665 (0.029) ;  (0.019) ; 62204 (0.017) ; 45996 (0.012) ; 11583 (0.011) ; 86219 (0.011) ; 110639 (0.011) ; 65552 (0.010) ; nlsj61372 (0.010) ; 72287 (0.010) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:   (0.021) ; 8665 (0.019) ; 45996 (0.017) ; 62204 (0.016) ; nlsj76838 (0.016) ; 84234 (0.014) ; 26921 (0.012) ; nlsj61372 (0.012) ; 11583 (0.012) ; 110639 (0.010) ; 

0.003049293530840837   T=0,K=1:  44447 (0.038) ;  (0.036) ; 45996 (0.034) ; 111023 (0.017) ; 70958 (0.017) ; 58590 (0.015) ; 16051 (0.014) ; 92329 (0.010) ; 101024 (0.010) ; 39661 (0.009) ; 
0.00956135236340001   T=1,K=1:  45996 (0.033) ;  (0.024) ; 111023 (0.022) ; 44447 (0.017) ; 16051 (0.015) ; 70958 (0.013) ; 80819 (0.013) ; 22825 (0.010) ; 101024 (0.010) ; 58590 (0.009) ; 
