1832 documents , 1 concepts , 4516 context features (49875) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 7, dT 200, I 100


map[]

===============  per type  ===============
0.14245303833035697   T=0,K=0:  58429 (0.018) ; 28566 (0.017) ; 31565 (0.013) ; 2731 (0.010) ; 11583 (0.009) ;  (0.009) ; 62204 (0.008) ; 84494 (0.008) ; 104225 (0.008) ; 24444 (0.007) ; 
0.19120936317847723   T=1,K=0:  58429 (0.021) ; 28566 (0.013) ; 84494 (0.012) ; 31565 (0.010) ; 62204 (0.008) ;  (0.008) ; 80011 (0.007) ; 56840 (0.007) ; 45996 (0.007) ; 85306 (0.006) ; 
0.09531777791686061   T=2,K=0:  58429 (0.014) ; 28566 (0.012) ; 84494 (0.010) ;  (0.009) ; 62204 (0.008) ; 31565 (0.007) ; 11583 (0.007) ; 1377 (0.007) ; 45996 (0.007) ; 8665 (0.006) ; 
0.07799382707258808   T=3,K=0:  45996 (0.009) ; 31565 (0.009) ; 58429 (0.008) ; 84494 (0.008) ; 28566 (0.007) ; 84234 (0.007) ; 56840 (0.007) ; 8665 (0.007) ;  (0.006) ; 85306 (0.006) ; 
0.07000535763635422   T=4,K=0:  84494 (0.012) ; 45996 (0.010) ; 58429 (0.008) ; 49875 (0.007) ; 28566 (0.007) ; 110639 (0.007) ; 6905 (0.006) ; 22209 (0.006) ; 72287 (0.006) ;  (0.006) ; 
0.06139984857269204   T=5,K=0:  84494 (0.013) ; 45996 (0.011) ; 49875 (0.011) ; 31565 (0.011) ; 110639 (0.010) ; 8665 (0.008) ; 6905 (0.007) ; 28566 (0.007) ;  (0.007) ; 58429 (0.006) ; 
0.024331231917523673   T=6,K=0:  49875 (0.016) ; 110639 (0.015) ; 84494 (0.011) ; 31565 (0.009) ; 8665 (0.009) ; 48291 (0.007) ; 45996 (0.007) ; 111544 (0.007) ; 28566 (0.007) ; 62204 (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  58429 (0.011) ; 84494 (0.011) ; 28566 (0.010) ; 31565 (0.009) ; 45996 (0.008) ;  (0.007) ; 8665 (0.007) ; 62204 (0.007) ; 110639 (0.007) ; 49875 (0.007) ; 

0.038290538448432186   T=0,K=1:  84494 (0.024) ; 45996 (0.016) ;  (0.016) ; 1564 (0.013) ; 63772 (0.012) ; 68641 (0.010) ; 46613 (0.010) ; 85306 (0.009) ; 22209 (0.008) ; 84234 (0.008) ; 
0.049359049865466145   T=1,K=1:   (0.019) ; 84494 (0.017) ; 45996 (0.014) ; 85306 (0.014) ; 1564 (0.012) ; 22209 (0.012) ; 46613 (0.011) ; 63772 (0.011) ; 68641 (0.009) ; 84434 (0.007) ; 
0.081816333009125   T=2,K=1:   (0.017) ; 45996 (0.015) ; 84494 (0.013) ; 68641 (0.012) ; 85306 (0.012) ; 84234 (0.010) ; 24440 (0.010) ; 22209 (0.009) ; 1564 (0.009) ; 63772 (0.008) ; 
0.1062240304096115   T=3,K=1:   (0.021) ; 45996 (0.017) ; 85306 (0.010) ; 58429 (0.010) ; 84494 (0.009) ; 84234 (0.009) ; 24440 (0.008) ; 68641 (0.008) ; 22209 (0.008) ; 11583 (0.008) ; 
0.05496725313475532   T=4,K=1:   (0.020) ; 45996 (0.012) ; 90504 (0.010) ; 22209 (0.009) ; 84494 (0.008) ; 56483 (0.007) ; 85306 (0.007) ; 68641 (0.007) ; 113560 (0.007) ; 24440 (0.007) ; 
0.06817267426422696   T=5,K=1:   (0.015) ; 56483 (0.010) ; 90504 (0.009) ; 45996 (0.009) ; 84494 (0.008) ; 22209 (0.007) ; 22825 (0.007) ; 84234 (0.007) ; 24440 (0.007) ; 58429 (0.006) ; 
0.05991664858518894   T=6,K=1:   (0.023) ; 22209 (0.014) ; 84494 (0.010) ; 56483 (0.010) ; 22825 (0.009) ; 90504 (0.008) ; 68641 (0.007) ; 78297 (0.007) ; 11058 (0.007) ; 45996 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:   (0.019) ; 45996 (0.013) ; 84494 (0.013) ; 22209 (0.010) ; 85306 (0.009) ; 68641 (0.008) ; 63772 (0.008) ; 90504 (0.007) ; 84234 (0.007) ; 24440 (0.007) ; 

0.026878815665474655   T=0,K=2:   (0.025) ; 104355 (0.016) ; 58429 (0.009) ; 84234 (0.009) ; nlsj76838 (0.009) ; 66342 (0.009) ; 80043 (0.009) ; 69863 (0.009) ; 45996 (0.009) ; 86112 (0.008) ; 
0.04365077988514217   T=1,K=2:   (0.028) ; 58429 (0.016) ; 45996 (0.010) ; 84234 (0.010) ; nlsj61372 (0.010) ; 69863 (0.008) ; nlsj76838 (0.008) ; 80043 (0.007) ; 66342 (0.007) ; 86112 (0.006) ; 
0.09222269512906119   T=2,K=2:  58429 (0.019) ;  (0.018) ; 45996 (0.015) ; 84234 (0.013) ; 66342 (0.009) ; nlsj61372 (0.007) ; 84494 (0.007) ; 102000 (0.007) ; 84422 (0.006) ; 48291 (0.006) ; 
0.14625021325941542   T=3,K=2:   (0.024) ; 45996 (0.018) ; 58429 (0.016) ; 48291 (0.010) ; 84234 (0.008) ; 102000 (0.008) ; 84422 (0.007) ; 84494 (0.007) ; 31607 (0.007) ; nlsj61372 (0.006) ; 
0.1229340738747107   T=4,K=2:   (0.018) ; 45996 (0.016) ; 84234 (0.013) ; 102000 (0.011) ; 58429 (0.008) ; 48291 (0.008) ; 84494 (0.007) ; 84422 (0.007) ; 68641 (0.006) ; 11583 (0.006) ; 
