1751 documents , 1 concepts , 4413 context features (70958) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.03829530296209255   T=0,K=0:  12485 (0.041) ; 47030 (0.023) ; 84494 (0.017) ; 260 (0.016) ; 85306 (0.015) ; nlsj32161 (0.015) ; 84234 (0.014) ; 83756 (0.012) ; 84422 (0.012) ; 67762 (0.011) ; 
0.02816980953629803   T=1,K=0:  12485 (0.026) ; 85306 (0.024) ; 84494 (0.019) ; 47030 (0.016) ; 98358 (0.016) ; 84234 (0.014) ; nlsj32161 (0.013) ; 260 (0.010) ; 76564 (0.010) ;  (0.010) ; 
0.04605620497765276   T=2,K=0:  85306 (0.028) ; 84494 (0.017) ; 12485 (0.017) ; 98358 (0.013) ;  (0.012) ; 84234 (0.012) ; 84034 (0.012) ; nlsj32161 (0.011) ; 80505 (0.010) ; 260 (0.009) ; 
0.052623517240270326   T=3,K=0:  85306 (0.024) ; 98358 (0.014) ; 84494 (0.013) ; 260 (0.013) ;  (0.012) ; 84234 (0.011) ; 12485 (0.011) ; 67762 (0.010) ; 20621 (0.010) ; 45996 (0.009) ; 
0.10021905136493404   T=4,K=0:  84494 (0.020) ; 85306 (0.019) ;  (0.016) ; 84234 (0.016) ; 260 (0.015) ; 67762 (0.012) ; 86112 (0.010) ; 65552 (0.010) ; 20621 (0.009) ; 45996 (0.008) ; 
0.07015831942925334   T=5,K=0:  84494 (0.024) ; 85306 (0.020) ; 260 (0.016) ; 67762 (0.015) ; 84234 (0.015) ;  (0.011) ; 12485 (0.009) ; 8665 (0.009) ; 20621 (0.009) ; 80505 (0.009) ; 
0.0361666470822182   T=6,K=0:  85306 (0.028) ; 260 (0.019) ; 84234 (0.016) ; 84494 (0.014) ; 31161 (0.010) ; 45996 (0.009) ; 12485 (0.009) ; 8665 (0.009) ;  (0.009) ; 84511 (0.008) ; 
0.040593174133668294   T=7,K=0:  84234 (0.022) ; 85306 (0.020) ; 45996 (0.012) ; 48291 (0.012) ; 12485 (0.011) ; 84494 (0.011) ; 8665 (0.010) ;  (0.010) ; 260 (0.009) ; 113560 (0.009) ; 
0.10237707953882218   T=8,K=0:  84234 (0.023) ; 85306 (0.016) ; 48291 (0.015) ; 45996 (0.013) ; 8665 (0.012) ; 84494 (0.012) ; nlsj56179 (0.011) ; 116416 (0.011) ;  (0.011) ; 22209 (0.010) ; 
0.047583945599006285   T=9,K=0:  84234 (0.015) ; 45996 (0.013) ; 116416 (0.012) ; 85306 (0.012) ;  (0.012) ; 22209 (0.011) ; 48291 (0.011) ; 28566 (0.011) ; 8665 (0.010) ; nlsj56179 (0.009) ; 
0.07654105475356487   T=10,K=0:  116416 (0.020) ; 45996 (0.019) ;  (0.012) ; 28566 (0.012) ; 8665 (0.012) ; 84234 (0.010) ; 85306 (0.010) ; 84494 (0.010) ; 110639 (0.009) ; 15842 (0.007) ; 
0.09794794392442822   T=11,K=0:  84234 (0.020) ; 45996 (0.019) ; 116416 (0.016) ; 85306 (0.014) ; 8665 (0.014) ; 84494 (0.014) ;  (0.013) ; 110639 (0.012) ; 28566 (0.010) ; 52048 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  85306 (0.019) ; 84234 (0.016) ; 84494 (0.015) ; 12485 (0.013) ;  (0.011) ; 260 (0.011) ; 45996 (0.010) ; 8665 (0.008) ; 67762 (0.008) ; 47030 (0.008) ; 

0.011250708846848683   T=0,K=1:  46613 (0.047) ;  (0.041) ; 84494 (0.033) ; 85306 (0.018) ; 25194 (0.015) ; nlsj6091 (0.012) ; 72610 (0.010) ; 36165 (0.010) ; 83774 (0.010) ; 65552 (0.010) ; 
0.02447506849030194   T=1,K=1:   (0.043) ; 84494 (0.028) ; 46613 (0.028) ; 85306 (0.021) ; 83774 (0.013) ; 25194 (0.013) ; 98894 (0.010) ; 38966 (0.010) ; 65552 (0.009) ; 72610 (0.009) ; 
0.028102489926770627   T=2,K=1:  84494 (0.033) ;  (0.029) ; 46613 (0.023) ; 85306 (0.023) ; 45996 (0.012) ; 65552 (0.011) ; 48291 (0.009) ; 98894 (0.009) ; 72627 (0.008) ; 83774 (0.008) ; 
0.02747804370257835   T=3,K=1:   (0.025) ; 84494 (0.022) ; 85306 (0.017) ; 46613 (0.017) ; 45996 (0.016) ; 48291 (0.014) ; 98894 (0.010) ; 74735 (0.009) ; 86219 (0.009) ; 65552 (0.009) ; 
0.07081330811749009   T=4,K=1:  84494 (0.024) ; 98894 (0.015) ; 48291 (0.015) ; 85306 (0.013) ;  (0.013) ; 45996 (0.011) ; 46613 (0.010) ; 74735 (0.009) ; 86112 (0.008) ; 104429 (0.008) ; 
0.1017993994111251   T=5,K=1:  84494 (0.018) ; 85306 (0.017) ; 48291 (0.013) ; 98894 (0.012) ; 49875 (0.011) ; 104429 (0.009) ;  (0.009) ; 4845 (0.009) ; 86219 (0.008) ; 65552 (0.008) ; 
0.13943500755325797   T=6,K=1:  84494 (0.023) ; 4845 (0.014) ; 104429 (0.012) ;  (0.011) ; 86219 (0.011) ; 48291 (0.011) ; nlsj71743 (0.011) ; 85306 (0.011) ; 74735 (0.010) ; 72627 (0.009) ; 
0.09684489882337423   T=7,K=1:  84494 (0.019) ; 104429 (0.016) ;  (0.015) ; nlsj71743 (0.013) ; 48291 (0.011) ; 72627 (0.010) ; 86219 (0.009) ; 74735 (0.009) ; 65552 (0.008) ; 45996 (0.007) ; 
0.059151352199675586   T=8,K=1:  49875 (0.011) ; 74735 (0.010) ; 84494 (0.010) ; 85306 (0.009) ; 90504 (0.009) ;  (0.009) ; 1097 (0.009) ; nlsj71743 (0.008) ; 36165 (0.008) ; 104429 (0.008) ; 
0.0620833551256028   T=9,K=1:  84494 (0.012) ; nlsj71743 (0.011) ; 26447 (0.010) ; 36165 (0.010) ; 49875 (0.010) ; 108780 (0.010) ; 90504 (0.010) ; 62204 (0.009) ; 85306 (0.009) ;  (0.008) ; 
0.06007477944660284   T=10,K=1:   (0.015) ; 37890 (0.010) ; 26447 (0.010) ; 84494 (0.009) ; 85306 (0.009) ; nlsj71743 (0.009) ; 62204 (0.009) ; 49875 (0.009) ; 1083 (0.009) ; 41619 (0.009) ; 
0.042866853358858086   T=11,K=1:   (0.022) ; 37890 (0.018) ; 1083 (0.012) ; 2654 (0.011) ; nlsj71743 (0.011) ; 41619 (0.010) ; 84494 (0.010) ; 49875 (0.009) ; 84434 (0.008) ; 92077 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  84494 (0.020) ;  (0.020) ; 85306 (0.013) ; 46613 (0.013) ; 48291 (0.009) ; 49875 (0.008) ; 45996 (0.008) ; nlsj71743 (0.008) ; 74735 (0.008) ; 104429 (0.008) ; 

0.023839228952607625   T=0,K=2:  22209 (0.040) ; 105829 (0.024) ; nlsj114757 (0.019) ; 26886 (0.017) ; 110606 (0.014) ; 46613 (0.014) ; 22502 (0.013) ; 6325 (0.013) ; 84422 (0.013) ; 84434 (0.011) ; 
0.053900080123753906   T=1,K=2:  22209 (0.034) ; 105829 (0.017) ; 84234 (0.017) ; 83774 (0.017) ; 46613 (0.015) ; 74735 (0.015) ; 26886 (0.014) ; nlsj114757 (0.014) ; 114753 (0.012) ; 84422 (0.012) ; 
0.04508351161448053   T=2,K=2:  22209 (0.032) ; 74735 (0.017) ; 114753 (0.016) ; nlsj114757 (0.015) ; 84234 (0.014) ; 83774 (0.012) ; 260 (0.011) ; 84434 (0.011) ; 105829 (0.011) ;  (0.011) ; 
0.06506330331740409   T=3,K=2:  22209 (0.028) ; 84434 (0.016) ; 84234 (0.016) ; 83774 (0.015) ; 46613 (0.012) ; nlsj114757 (0.011) ; 84422 (0.011) ; 74735 (0.011) ; 114753 (0.010) ; 23726 (0.009) ; 
0.09344508432558186   T=4,K=2:  22209 (0.023) ; 84422 (0.020) ; 84234 (0.015) ; 114753 (0.013) ; nlsj114757 (0.012) ; 46613 (0.011) ; 23726 (0.011) ; 85306 (0.010) ; 84434 (0.009) ; 57457 (0.008) ; 
0.07448358261249347   T=5,K=2:  22209 (0.021) ; 84422 (0.020) ; 84234 (0.019) ; 23726 (0.015) ; 84434 (0.009) ; 74735 (0.009) ;  (0.009) ; nlsj114757 (0.009) ; 83774 (0.007) ; 105829 (0.007) ; 
0.10018280225667175   T=6,K=2:  22209 (0.018) ; 84422 (0.015) ; 84234 (0.014) ; 23726 (0.013) ; 74735 (0.012) ; 110606 (0.010) ; 84434 (0.009) ;  (0.008) ; 105829 (0.008) ; 45996 (0.007) ; 
0.10248407700712915   T=7,K=2:  22209 (0.023) ; 45996 (0.015) ; 85306 (0.011) ; 84422 (0.010) ; 114753 (0.010) ; 11583 (0.009) ; 84234 (0.009) ;  (0.008) ; 84434 (0.008) ; 74735 (0.007) ; 
0.12388138698473186   T=8,K=2:  45996 (0.019) ; 22209 (0.014) ; 85306 (0.013) ;  (0.011) ; 84234 (0.009) ; 114753 (0.008) ; 11583 (0.008) ; 43206 (0.008) ; 31161 (0.008) ; 84422 (0.008) ; 
