213 documents , 1 concepts , 1144 context features (71976) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============
0.009326128563338426   T=0,K=0:  96981 (0.003) ; 17055 (0.003) ; 75699 (0.003) ; 84511 (0.003) ; 48291 (0.003) ; nlsj6012 (0.003) ; 72106 (0.003) ; 11058 (0.003) ; 67219 (0.002) ; 65295 (0.002) ; 
0.007221037084679174   T=1,K=0:  105753 (0.004) ; 71834 (0.003) ; 67219 (0.003) ; 65295 (0.002) ; 53332 (0.002) ; 71023 (0.002) ; 101611 (0.002) ; 102000 (0.002) ; 48291 (0.002) ; 20674 (0.002) ; 
0.012281158444302427   T=2,K=0:  105753 (0.007) ; 62383 (0.005) ; 18707 (0.004) ; 60340 (0.003) ; 85734 (0.003) ; 72627 (0.003) ; 20674 (0.003) ; 74126 (0.003) ; 22209 (0.003) ; 31562 (0.003) ; 
0.01875836887732266   T=3,K=0:  105753 (0.009) ; 18707 (0.008) ; 31562 (0.006) ; 65685 (0.005) ; 62383 (0.005) ; 74126 (0.004) ; 22209 (0.004) ; 60340 (0.004) ; 72627 (0.004) ; 85734 (0.003) ; 
0.038085630993198075   T=4,K=0:  22209 (0.007) ; 74126 (0.006) ; 105753 (0.006) ; 101611 (0.006) ; 116050 (0.005) ; 62383 (0.005) ; 18707 (0.005) ; 65685 (0.005) ; 98241 (0.004) ; 72627 (0.004) ; 
0.022456008818979176   T=5,K=0:  22209 (0.008) ; 110598 (0.005) ; 105753 (0.004) ; 72627 (0.004) ; 101611 (0.004) ; 83987 (0.004) ; 74126 (0.004) ; 114972 (0.003) ; 114548 (0.003) ; 62383 (0.003) ; 
0.03382667685540294   T=6,K=0:  22209 (0.008) ; 20885 (0.005) ; 56586 (0.004) ; 86276 (0.004) ; 105753 (0.004) ; 110598 (0.004) ; 83987 (0.004) ; 46606 (0.004) ; 2672 (0.004) ; nlsj93423 (0.004) ; 
0.06506246790832558   T=7,K=0:  56586 (0.013) ; 22209 (0.007) ; nlsj59172 (0.006) ; 31562 (0.006) ; 22100 (0.006) ; 86276 (0.006) ; 65552 (0.005) ; 20885 (0.005) ; 31565 (0.005) ; 46606 (0.005) ; 
0.1805594322496134   T=8,K=0:  56586 (0.016) ; 116416 (0.010) ; 31562 (0.010) ; 67762 (0.008) ; 65552 (0.008) ; 22100 (0.007) ; 102000 (0.006) ;  (0.006) ; 62204 (0.006) ; 66594 (0.006) ; 
0.12080130845930373   T=9,K=0:  116416 (0.019) ; 56586 (0.015) ; 65552 (0.011) ; 22100 (0.008) ; 114122 (0.007) ; 67762 (0.007) ; 51087 (0.007) ; 1872 (0.007) ; 114624 (0.006) ; 31562 (0.006) ; 
0.08364563096320804   T=10,K=0:  116416 (0.016) ; 65552 (0.009) ; 70972 (0.008) ; 67762 (0.008) ; 61265 (0.008) ; 43206 (0.008) ;  (0.007) ; 51087 (0.007) ; 82367 (0.006) ; 56586 (0.006) ; 
0.1246789012279869   T=11,K=0:  47508 (0.014) ;  (0.012) ; 116416 (0.011) ; 83057 (0.011) ; 71023 (0.011) ; 70360 (0.010) ; 66820 (0.010) ; 74691 (0.009) ; 11701 (0.009) ; 67762 (0.009) ; 
0.1500471772177225   T=12,K=0:  47508 (0.034) ; 71023 (0.034) ; 892 (0.031) ; 70360 (0.022) ; 83057 (0.020) ;  (0.019) ; 66820 (0.016) ; 76859 (0.010) ; 11701 (0.008) ; 65552 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  116416 (0.006) ; 56586 (0.005) ;  (0.005) ; 71023 (0.005) ; 47508 (0.005) ; 65552 (0.004) ; 67762 (0.004) ; 31562 (0.004) ; 892 (0.004) ; 22209 (0.003) ; 

0.015628503557525108   T=0,K=1:  104701 (0.003) ; 73492 (0.003) ; 91627 (0.003) ; 44397 (0.003) ; 43977 (0.003) ; 104421 (0.003) ; 101456 (0.003) ; 41335 (0.002) ; 65139 (0.002) ; 102096 (0.002) ; 
0.03102218780593359   T=1,K=1:  101456 (0.003) ; 100693 (0.003) ; 5036 (0.002) ; 73277 (0.002) ; 19775 (0.002) ; 48896 (0.002) ; 50436 (0.002) ; 41335 (0.002) ; 24925 (0.002) ; 78005 (0.002) ; 
0.09773398580955285   T=2,K=1:  45996 (0.005) ; 73277 (0.005) ; 67778 (0.005) ; 106502 (0.004) ; 1872 (0.004) ; 100693 (0.004) ; 14702 (0.004) ; 24925 (0.004) ; 76530 (0.004) ; 58429 (0.004) ; 
0.11291625197030951   T=3,K=1:  14702 (0.007) ; 58429 (0.007) ; 67778 (0.006) ; 115055 (0.006) ; 84234 (0.006) ; 24925 (0.006) ; 106502 (0.006) ; 66295 (0.005) ; 73277 (0.005) ; 31447 (0.005) ; 
0.18411183334845774   T=4,K=1:  73277 (0.011) ; 58429 (0.010) ; 101089 (0.008) ; 84234 (0.007) ; 91547 (0.006) ; 65552 (0.006) ; 115055 (0.006) ; 106502 (0.006) ; 14702 (0.006) ; 5036 (0.005) ; 
0.11529759414785684   T=5,K=1:  73277 (0.014) ; 58429 (0.005) ; 80471 (0.004) ; 72106 (0.004) ; 84234 (0.004) ; 101089 (0.004) ; 5036 (0.004) ; 106502 (0.004) ; 115055 (0.004) ; 104639 (0.004) ; 
0.12766910123211753   T=6,K=1:  73277 (0.015) ; 37650 (0.006) ; 22209 (0.005) ; 24436 (0.005) ; 80471 (0.004) ;  (0.004) ; 11583 (0.004) ; 19341 (0.004) ; 25711 (0.004) ; 55905 (0.004) ; 
0.1150966734995439   T=7,K=1:  22209 (0.009) ; 73277 (0.008) ; 105829 (0.006) ; 25711 (0.006) ;  (0.005) ; 37650 (0.005) ; 90305 (0.005) ; 80471 (0.005) ; 95882 (0.005) ; 76530 (0.005) ; 
0.1316892116364999   T=8,K=1:  22209 (0.014) ; 86187 (0.011) ; 102000 (0.008) ; 103975 (0.007) ; 76530 (0.006) ; 106502 (0.005) ; 5289 (0.005) ; 19972 (0.005) ; 17353 (0.005) ; 57457 (0.005) ; 
0.07812946284200764   T=9,K=1:  86187 (0.017) ; 102000 (0.012) ; 103975 (0.010) ; 22209 (0.006) ; 101018 (0.006) ; 22818 (0.005) ; 114731 (0.005) ; 45996 (0.005) ; 57457 (0.005) ; 115887 (0.004) ; 
0.11795875801625727   T=10,K=1:  102000 (0.019) ; 103975 (0.012) ; 86187 (0.011) ; 22818 (0.010) ; 84248 (0.007) ; 260 (0.007) ; 85982 (0.006) ; 71065 (0.006) ; 13471 (0.005) ; nlsj68228 (0.005) ; 
0.09278001476273773   T=11,K=1:  102000 (0.015) ; 21147 (0.012) ; 71065 (0.009) ; 3591 (0.009) ; 22643 (0.008) ; 3354 (0.008) ; 103975 (0.008) ; 16051 (0.007) ; 72204 (0.007) ; 75539 (0.007) ; 
0.016717784423366445   T=12,K=1:  3591 (0.017) ; 3354 (0.017) ; 23283 (0.011) ; 102000 (0.011) ; 72204 (0.011) ; 63047 (0.010) ; 21147 (0.010) ; 71065 (0.009) ; 48896 (0.008) ; 16051 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  73277 (0.006) ; 102000 (0.006) ; 86187 (0.005) ; 103975 (0.004) ; 106502 (0.003) ; 22209 (0.003) ; 66295 (0.003) ; 76530 (0.003) ; 3591 (0.003) ; 22818 (0.003) ; 

0.01541929274972947   T=0,K=2:  13608 (0.004) ; 95836 (0.004) ; 84034 (0.004) ; 72279 (0.003) ; 72202 (0.003) ; 109358 (0.003) ; 113388 (0.003) ; 99053 (0.003) ; 8505 (0.002) ; 26680 (0.002) ; 
0.0117546943168284   T=1,K=2:  106263 (0.003) ; 91547 (0.003) ; 19788 (0.003) ; 110284 (0.003) ; 116470 (0.002) ; 90118 (0.002) ; 30796 (0.002) ; 51148 (0.002) ; 17153 (0.002) ; 23230 (0.002) ; 
0.03799135459622526   T=2,K=2:  6616 (0.006) ; 106263 (0.005) ; 91547 (0.005) ; 114624 (0.004) ; 19788 (0.004) ; 110598 (0.004) ; 30796 (0.004) ; 116470 (0.004) ; nlsj30855 (0.004) ; nlsj114757 (0.004) ; 
