262 documents , 1 concepts , 1424 context features (93711) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.22977996354624378   T=0,K=0:  nlsj2705 (0.059) ; 24444 (0.043) ; 82190 (0.031) ; 23069 (0.025) ; 73751 (0.022) ; 22209 (0.018) ; 61791 (0.018) ; 55139 (0.017) ; 104355 (0.017) ; nlsj29289 (0.017) ; 
0.01778501389773603   T=1,K=0:  24444 (0.058) ; nlsj2705 (0.036) ; 82190 (0.022) ; 23069 (0.022) ; 93711 (0.022) ; 83139 (0.020) ; 22209 (0.020) ; 73751 (0.019) ; 47950 (0.015) ; 72323 (0.015) ; 
0.015515761542116887   T=2,K=0:  24444 (0.072) ; nlsj2705 (0.024) ; 22209 (0.023) ; 23069 (0.023) ; 93711 (0.022) ; 17424 (0.021) ; 85306 (0.020) ; 82190 (0.018) ; 73751 (0.017) ; 72323 (0.016) ; 
0.026391024027345947   T=3,K=0:  24444 (0.062) ; 22209 (0.023) ; 93711 (0.022) ; 85306 (0.017) ; 73751 (0.016) ; 72323 (0.016) ; 17424 (0.015) ; 82190 (0.015) ; 83139 (0.014) ; nlsj3286 (0.014) ; 
0.17890842712560964   T=4,K=0:  24444 (0.045) ; 22209 (0.022) ; 73751 (0.017) ; 85306 (0.017) ; 72323 (0.016) ; 93711 (0.016) ; 96281 (0.015) ; 72287 (0.015) ; 2654 (0.015) ; 36827 (0.014) ; 
0.15579220604558197   T=5,K=0:  24444 (0.026) ; 22209 (0.023) ; 85306 (0.019) ; 23069 (0.018) ; 55139 (0.017) ; 72287 (0.017) ; 2654 (0.016) ; 72323 (0.015) ; 61791 (0.014) ; 19546 (0.013) ; 
0.08404812226609375   T=6,K=0:  24444 (0.022) ; 61791 (0.020) ; 49589 (0.018) ; 22209 (0.018) ; 55139 (0.017) ; 72287 (0.017) ; 73751 (0.016) ; 19546 (0.015) ; 45996 (0.015) ; 85306 (0.014) ; 
0.2517672543916089   T=7,K=0:  24444 (0.022) ; 85306 (0.022) ; 19546 (0.021) ; 23069 (0.019) ; 20621 (0.019) ; 45996 (0.019) ; 22209 (0.017) ; nlsj177 (0.015) ; 49589 (0.014) ; 73751 (0.013) ; 
0.09526557494154692   T=8,K=0:  65469 (0.023) ; 24444 (0.022) ; 85306 (0.022) ; 45996 (0.018) ; 19546 (0.017) ; 23069 (0.017) ; 22209 (0.016) ; 17424 (0.015) ; 33160 (0.014) ; 11583 (0.014) ; 
0.056527244216041626   T=9,K=0:  22209 (0.039) ; 24444 (0.028) ; 85306 (0.028) ; 19546 (0.020) ; 63772 (0.018) ; 104421 (0.014) ; 84494 (0.014) ; 45996 (0.013) ; 49875 (0.013) ; 74126 (0.013) ; 
0.043613086898875074   T=10,K=0:  22209 (0.055) ; 19546 (0.030) ; 24444 (0.023) ; 85306 (0.021) ; 74126 (0.017) ; 33426 (0.015) ; 63772 (0.015) ; 55139 (0.015) ; 84494 (0.014) ; 23069 (0.014) ; 
0.07145566955411206   T=11,K=0:  22209 (0.041) ; 23069 (0.032) ; 19546 (0.026) ; 85306 (0.024) ; 104421 (0.023) ; 55139 (0.021) ; 74126 (0.021) ; 63772 (0.019) ; 112094 (0.018) ; 84494 (0.018) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  24444 (0.036) ; 22209 (0.026) ; 85306 (0.019) ; 23069 (0.018) ; 19546 (0.015) ; nlsj2705 (0.015) ; 73751 (0.014) ; 55139 (0.014) ; 93711 (0.013) ; 72323 (0.013) ; 

0.050466370791019885   T=0,K=1:  112002 (0.041) ; 21401 (0.040) ; 58590 (0.038) ; 729 (0.033) ; 42155 (0.031) ;  (0.028) ; 43206 (0.026) ; nlsj32167 (0.025) ; 110114 (0.023) ; 42827 (0.023) ; 
0.010806184416143642   T=1,K=1:  21401 (0.043) ;  (0.038) ; 112002 (0.033) ; 61791 (0.029) ; 729 (0.028) ; 42827 (0.027) ; nlsj32167 (0.023) ; 42155 (0.022) ; 58590 (0.020) ; 110114 (0.018) ; 
0.06957814467524186   T=2,K=1:  21401 (0.047) ;  (0.042) ; 61791 (0.038) ; 42155 (0.029) ; 42827 (0.029) ; 112002 (0.028) ; 58590 (0.023) ; nlsj75153 (0.019) ; 43206 (0.019) ; 62204 (0.018) ; 
0.1912261718441073   T=3,K=1:   (0.039) ; 21401 (0.037) ; 22209 (0.029) ; 42827 (0.023) ; 112002 (0.021) ; 42155 (0.021) ; 62204 (0.019) ; nlsj32167 (0.019) ; 58590 (0.018) ; 43206 (0.016) ; 
0.06746691855283157   T=4,K=1:  21401 (0.045) ; 42155 (0.030) ;  (0.028) ; 22209 (0.026) ; 42827 (0.024) ; 112002 (0.021) ; 53651 (0.018) ; 61791 (0.018) ; 103175 (0.016) ; nlsj75153 (0.016) ; 
0.019483070753344087   T=5,K=1:  22209 (0.033) ; 21401 (0.032) ; 53651 (0.026) ;  (0.024) ; 112002 (0.021) ; 83834 (0.017) ; 729 (0.017) ; 59295 (0.017) ; 40302 (0.015) ; 42155 (0.015) ; 
0.04877682713853758   T=6,K=1:  21401 (0.063) ; 22209 (0.034) ;  (0.032) ; 42827 (0.018) ; 3709 (0.017) ; 83834 (0.016) ; 42155 (0.016) ; 62204 (0.014) ; 59295 (0.014) ; 7647 (0.013) ; 
0.046933843291415256   T=7,K=1:  21401 (0.055) ; 22209 (0.042) ;  (0.020) ; 729 (0.019) ; 59295 (0.016) ; 3709 (0.016) ; 42155 (0.015) ; 42827 (0.013) ; 7647 (0.013) ; 108850 (0.013) ; 
0.06718538124900081   T=8,K=1:  22209 (0.050) ; 21401 (0.030) ; 60061 (0.025) ; 729 (0.016) ; 83834 (0.015) ; 86219 (0.015) ; 62204 (0.015) ; 40302 (0.015) ; 735 (0.014) ; 68262 (0.014) ; 
0.01690317609869119   T=9,K=1:  22209 (0.049) ; 21401 (0.024) ; 110114 (0.021) ; 60061 (0.017) ; 7647 (0.016) ; 83834 (0.016) ; 735 (0.015) ; 68262 (0.015) ; 86219 (0.014) ; 40302 (0.014) ; 
0.1639433897327941   T=10,K=1:  22209 (0.088) ; 21401 (0.021) ; 110114 (0.020) ; nlsj75153 (0.016) ; 40302 (0.016) ; 86305 (0.015) ; 42155 (0.014) ; 64866 (0.014) ; 60061 (0.013) ; 43206 (0.013) ; 
0.11119296252502027   T=11,K=1:  22209 (0.063) ; 43206 (0.021) ; 64866 (0.018) ; 21401 (0.018) ; 40302 (0.017) ; 68262 (0.017) ; 110114 (0.016) ; nlsj75153 (0.015) ; 729 (0.015) ; 93711 (0.015) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  22209 (0.038) ; 21401 (0.038) ;  (0.025) ; 42155 (0.019) ; 112002 (0.018) ; 729 (0.017) ; 42827 (0.017) ; 43206 (0.015) ; 61791 (0.014) ; nlsj32167 (0.014) ; 

