12 documents , 1 concepts , 186 context features (69419) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -430, end 364, times 7, dT 100, I 1000


map[]

===============  per type  ===============
8.200864053713033e-23   T=0,K=0:  34522 (0.259) ; 58972 (0.162) ; 73221 (0.147) ; 8909 (0.139) ; 96981 (0.114) ; 33969 (0.089) ; 48436 (0.032) ; 28569 (0.017) ; 46195 (0.012) ; 80761 (0.007) ; 
1.112767388405492e-24   T=1,K=0:  58972 (0.212) ; 34522 (0.187) ; 73221 (0.156) ; 33969 (0.138) ; 96981 (0.118) ; 8909 (0.108) ; 48436 (0.022) ; 28569 (0.019) ; 46195 (0.009) ; 80761 (0.008) ; 
1.658252473432212e-23   T=2,K=0:  58972 (0.259) ; 33969 (0.190) ; 34522 (0.158) ; 73221 (0.134) ; 8909 (0.095) ; 96981 (0.078) ; 48436 (0.023) ; 28569 (0.015) ; 80761 (0.011) ; 46195 (0.010) ; 
1.7032129911694755e-23   T=3,K=0:  58972 (0.229) ; 73221 (0.206) ; 33969 (0.136) ; 8909 (0.121) ; 34522 (0.114) ; 96981 (0.109) ; 48436 (0.019) ; 80761 (0.017) ; 28569 (0.017) ; 46195 (0.007) ; 
7.990189404476253e-23   T=4,K=0:  58972 (0.306) ; 73221 (0.202) ; 33969 (0.121) ; 34522 (0.104) ; 96981 (0.093) ; 8909 (0.090) ; 48436 (0.024) ; 28569 (0.020) ; 80761 (0.012) ; 46195 (0.004) ; 
2.3601236764236714e-21   T=5,K=0:  58972 (0.278) ; 73221 (0.207) ; 33969 (0.197) ; 34522 (0.104) ; 8909 (0.094) ; 96981 (0.055) ; 28569 (0.021) ; 48436 (0.014) ; 80761 (0.007) ; 46195 (0.003) ; 
2.1014182174891588e-21   T=6,K=0:  33969 (0.313) ; 58972 (0.204) ; 73221 (0.173) ; 34522 (0.096) ; 8909 (0.096) ; 96981 (0.057) ; 28569 (0.020) ; 48436 (0.013) ; 80761 (0.006) ; 52332 (0.002) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  58972 (0.236) ; 73221 (0.175) ; 33969 (0.169) ; 34522 (0.146) ; 8909 (0.106) ; 96981 (0.089) ; 48436 (0.021) ; 28569 (0.018) ; 80761 (0.010) ; 46195 (0.007) ; 

0.18201200210964083   T=0,K=1:  84248 (0.278) ; 2224 (0.093) ; 111722 (0.084) ; 62204 (0.067) ; 19641 (0.063) ; 15893 (0.043) ; 46216 (0.037) ; nlsj114757 (0.035) ; 22100 (0.033) ; 46195 (0.031) ; 
0.14529724122316373   T=1,K=1:  84248 (0.273) ; 2224 (0.095) ; 111722 (0.087) ; 15893 (0.063) ; 19641 (0.062) ; 62204 (0.054) ; 46216 (0.053) ; nlsj114757 (0.034) ; 6449 (0.028) ; 22100 (0.022) ; 
0.022050311106662973   T=2,K=1:  84248 (0.226) ; 19641 (0.111) ; nlsj114757 (0.078) ; 111722 (0.078) ; 2224 (0.077) ; 15893 (0.051) ; 62204 (0.042) ; 43206 (0.039) ; 46216 (0.034) ; 22100 (0.029) ; 
0.00252804980277911   T=3,K=1:  19641 (0.156) ; 84248 (0.140) ; nlsj114757 (0.097) ; 111722 (0.077) ; 2224 (0.075) ; 15893 (0.072) ; 46216 (0.049) ; 43206 (0.047) ; 22100 (0.029) ; 61925 (0.026) ; 
0.052257383004797084   T=4,K=1:  19641 (0.199) ; 84248 (0.123) ; 2224 (0.086) ; nlsj114757 (0.083) ; 111722 (0.069) ; 15893 (0.067) ; 43206 (0.049) ; 62204 (0.035) ; 46216 (0.033) ; 22100 (0.032) ; 
0.3487088063464544   T=5,K=1:  19641 (0.128) ; 84248 (0.119) ; 2224 (0.118) ; nlsj114757 (0.097) ; 15893 (0.066) ; 43206 (0.062) ; 111722 (0.062) ; 103637 (0.037) ; 62204 (0.030) ; 61925 (0.029) ; 
0.4079003015521386   T=6,K=1:  19641 (0.162) ; 15893 (0.135) ; 2224 (0.096) ; 111722 (0.081) ; 84248 (0.075) ; nlsj114757 (0.070) ; 73221 (0.037) ; 61925 (0.036) ; 103637 (0.032) ; 62204 (0.032) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  84248 (0.176) ; 19641 (0.126) ; 2224 (0.092) ; 111722 (0.077) ; 15893 (0.071) ; nlsj114757 (0.071) ; 62204 (0.041) ; 46216 (0.037) ; 43206 (0.036) ; 22100 (0.026) ; 

1.3018181208348444e-10   T=0,K=2:  104429 (0.562) ; 71585 (0.353) ; 48436 (0.042) ; 15609 (0.020) ; 94365 (0.010) ; 77030 (0.008) ; 4536 (0.001) ; 84552 (0.001) ; 83760 (0.001) ; 15121 (0.001) ; 
1.3681720382993137e-10   T=1,K=2:  104429 (0.632) ; 71585 (0.290) ; 48436 (0.031) ; 15609 (0.022) ; 77030 (0.011) ; 94365 (0.006) ; 4536 (0.001) ; 84552 (0.001) ; 15121 (0.001) ; 103957 (0.001) ; 
