2055 documents , 1 concepts , 4683 context features (115193) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.00994815636313443   T=0,K=0:  84494 (0.037) ; 110639 (0.023) ; 45996 (0.016) ; 65313 (0.015) ; 74126 (0.014) ; 14921 (0.014) ; nlsj56179 (0.014) ; 114753 (0.013) ; 66173 (0.012) ; 90504 (0.011) ; 
0.004030841804588473   T=1,K=0:  84494 (0.039) ; 45996 (0.021) ; nlsj56179 (0.015) ; 14921 (0.015) ; 11583 (0.013) ; 110639 (0.013) ; 114753 (0.012) ; 74126 (0.012) ; 84410 (0.010) ; 65313 (0.009) ; 
0.0198640924904321   T=2,K=0:  84494 (0.032) ; 45996 (0.018) ; 14921 (0.014) ; 110639 (0.013) ; 74126 (0.013) ; 114753 (0.011) ; 84410 (0.011) ; 29698 (0.010) ; nlsj56179 (0.009) ; 67225 (0.009) ; 
0.04649273522741784   T=3,K=0:  45996 (0.022) ; 84494 (0.015) ; 110639 (0.012) ; 84410 (0.011) ; 114753 (0.010) ; 75152 (0.009) ; nlsj56179 (0.009) ; 85306 (0.008) ; 62204 (0.008) ; 8909 (0.008) ; 
0.07112597757010228   T=4,K=0:  45996 (0.026) ; 84494 (0.024) ; 110639 (0.015) ; 85306 (0.014) ; nlsj56179 (0.010) ; 8909 (0.010) ; 114753 (0.009) ; 90504 (0.008) ; 19546 (0.008) ; 74126 (0.007) ; 
0.027277798268069   T=5,K=0:  84494 (0.025) ; 45996 (0.024) ; 85306 (0.015) ; 90504 (0.009) ; 84434 (0.008) ; nlsj40132 (0.008) ; 8909 (0.008) ; 110639 (0.008) ; 84410 (0.007) ; 74126 (0.007) ; 
0.014166696022196442   T=6,K=0:  45996 (0.026) ; 84494 (0.025) ; 85306 (0.015) ; 110639 (0.009) ; 47735 (0.009) ; 74126 (0.008) ; 73809 (0.008) ; nlsj40132 (0.008) ; 90504 (0.007) ; 54345 (0.007) ; 
0.050682742343667604   T=7,K=0:  84494 (0.020) ; 85306 (0.018) ; 45996 (0.016) ; 62204 (0.012) ; 73809 (0.008) ; 74126 (0.008) ; 84434 (0.008) ; 90504 (0.008) ; 31947 (0.007) ; 13096 (0.007) ; 
0.09653376306210934   T=8,K=0:  62204 (0.012) ; 84494 (0.012) ; 45996 (0.012) ; 85306 (0.010) ; 13096 (0.009) ; 110639 (0.008) ; 75308 (0.008) ; 90504 (0.008) ; 50616 (0.007) ; 84434 (0.007) ; 
0.11120030748846313   T=9,K=0:  84494 (0.013) ; 62204 (0.013) ; 84434 (0.011) ; 90504 (0.011) ; 50616 (0.010) ; 110598 (0.009) ; 85306 (0.008) ; 45996 (0.008) ; 110639 (0.008) ; 13096 (0.007) ; 
0.05278772102255062   T=10,K=0:  85306 (0.017) ; 84434 (0.010) ; 84494 (0.009) ; 90504 (0.008) ; 112720 (0.008) ; 62204 (0.008) ; 110639 (0.008) ; 47735 (0.008) ; 50616 (0.007) ; 13096 (0.007) ; 
0.13785462976000867   T=11,K=0:  85306 (0.021) ; 90504 (0.011) ; 84434 (0.011) ; 73809 (0.010) ; 112720 (0.010) ; 31947 (0.009) ; 84494 (0.009) ; 62204 (0.008) ; 110639 (0.008) ; 115212 (0.007) ; 
0.09315946062494831   T=12,K=0:  90504 (0.017) ; 85306 (0.015) ; 62204 (0.014) ; 84494 (0.012) ; 75308 (0.011) ; 110639 (0.009) ; 112720 (0.009) ; 31947 (0.009) ; 73809 (0.009) ; 28569 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  84494 (0.021) ; 45996 (0.016) ; 85306 (0.012) ; 110639 (0.011) ; 90504 (0.009) ; 62204 (0.009) ; 74126 (0.007) ; nlsj56179 (0.007) ; 84434 (0.006) ; 19546 (0.006) ; 

0.04602099864995992   T=0,K=1:  65552 (0.044) ; 110689 (0.030) ; 84494 (0.019) ; 80819 (0.017) ; 27847 (0.014) ; 80306 (0.014) ; 35109 (0.012) ; 4845 (0.012) ; 84422 (0.011) ; 85912 (0.011) ; 
0.016345720903605355   T=1,K=1:  110689 (0.031) ; 65552 (0.028) ; 84494 (0.022) ; 63314 (0.012) ; 85912 (0.012) ; 11583 (0.012) ; 85736 (0.011) ; 27847 (0.011) ; 80239 (0.011) ; 80819 (0.010) ; 
0.02944199491278329   T=2,K=1:  110689 (0.037) ; 84494 (0.022) ; 65552 (0.018) ; 85736 (0.014) ; 22209 (0.013) ; 80306 (0.011) ; 11583 (0.011) ; 80819 (0.010) ; 85912 (0.010) ; 27847 (0.010) ; 
0.0579048703540753   T=3,K=1:  110689 (0.027) ; 84494 (0.019) ; 85736 (0.015) ; 22209 (0.015) ; 2660 (0.013) ; 84422 (0.011) ; 65552 (0.011) ; 72153 (0.010) ; 85912 (0.010) ; 11583 (0.010) ; 
0.03900877690594011   T=4,K=1:  84494 (0.031) ; 84422 (0.020) ; 110689 (0.013) ; 116469 (0.013) ; 72153 (0.012) ; 85736 (0.012) ; 50702 (0.011) ; 85912 (0.010) ; 80819 (0.010) ; 94711 (0.009) ; 
0.08814872975424122   T=5,K=1:  84494 (0.034) ; 84422 (0.031) ; 116469 (0.013) ; 80819 (0.012) ; 85736 (0.012) ; 72153 (0.011) ; 2660 (0.010) ; 50702 (0.010) ; 11583 (0.009) ; 85912 (0.009) ; 
0.05209690032355981   T=6,K=1:  84494 (0.027) ; 84422 (0.020) ; 85736 (0.013) ; 54345 (0.012) ; 116469 (0.012) ; 85912 (0.011) ; 11583 (0.011) ; 110689 (0.009) ; nlsj16511 (0.009) ; 65552 (0.008) ; 
0.06832098628206987   T=7,K=1:  84494 (0.029) ; 84422 (0.019) ; 85736 (0.018) ; 85912 (0.014) ; 110689 (0.012) ; 46892 (0.009) ; 83756 (0.009) ; 77847 (0.008) ; 11583 (0.008) ; 2660 (0.007) ; 
0.025953374794876107   T=8,K=1:  84494 (0.023) ; 84422 (0.020) ; 110689 (0.015) ; 85736 (0.013) ; 11583 (0.012) ; 42983 (0.011) ; 46892 (0.009) ; 65552 (0.008) ; 45996 (0.008) ; 84234 (0.008) ; 
0.028621067812185878   T=9,K=1:  84494 (0.037) ; 110689 (0.019) ; 84422 (0.019) ; 85736 (0.016) ; nlsj107632 (0.012) ; 42983 (0.012) ; 65552 (0.011) ; 11583 (0.010) ; 12973 (0.010) ; nlsj32268 (0.008) ; 
0.020671578562416144   T=10,K=1:  84494 (0.026) ; 110689 (0.023) ; 84422 (0.015) ; 42983 (0.015) ; 11583 (0.014) ; 94426 (0.014) ; nlsj107632 (0.012) ; 85736 (0.011) ; 63314 (0.011) ; 102909 (0.010) ; 
0.036207898524314566   T=11,K=1:  84494 (0.023) ; 2660 (0.020) ; 42983 (0.017) ; 102909 (0.016) ; 94426 (0.015) ; 11583 (0.014) ; nlsj107632 (0.013) ; 76910 (0.013) ; 110689 (0.012) ; 85736 (0.011) ; 
0.032228554908043064   T=12,K=1:  2660 (0.023) ; 84494 (0.023) ; 102909 (0.018) ; 84422 (0.016) ; 76910 (0.015) ; 94426 (0.014) ; 63314 (0.014) ; 65552 (0.012) ; 42983 (0.012) ; 85736 (0.011) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  84494 (0.026) ; 110689 (0.019) ; 84422 (0.016) ; 65552 (0.014) ; 85736 (0.013) ; 11583 (0.010) ; 2660 (0.009) ; 85912 (0.009) ; 63314 (0.009) ; 22209 (0.008) ; 

0.13658106354481206   T=0,K=2:  65552 (0.045) ; 85306 (0.023) ; 102832 (0.015) ; 45996 (0.015) ; 11583 (0.015) ; 24292 (0.014) ; 22209 (0.013) ; 47735 (0.012) ; 44175 (0.012) ; 84422 (0.011) ; 
0.25938135986548316   T=1,K=2:  65552 (0.035) ; 102832 (0.017) ; 85306 (0.016) ; 45996 (0.015) ; 24292 (0.013) ; 103052 (0.013) ; 22209 (0.013) ; 27847 (0.012) ; 48291 (0.011) ; 84494 (0.011) ; 
0.15647393314011437   T=2,K=2:  65552 (0.027) ; 19546 (0.018) ; 85306 (0.017) ; 103052 (0.014) ; 102832 (0.013) ; 84494 (0.013) ; 22209 (0.012) ; 27847 (0.012) ; 84422 (0.011) ; 45996 (0.010) ; 
0.08657742587997597   T=3,K=2:  65552 (0.023) ; 19546 (0.021) ; 22209 (0.017) ; 85306 (0.016) ; 103052 (0.011) ; 84494 (0.011) ; 102832 (0.010) ; 110639 (0.009) ; 27847 (0.009) ; 84422 (0.009) ; 
0.09473663212689748   T=4,K=2:  19546 (0.016) ; 65552 (0.016) ; 84494 (0.015) ; 27847 (0.013) ; 85306 (0.013) ; 22209 (0.011) ; 8665 (0.010) ; 110639 (0.010) ; 31306 (0.010) ; 45996 (0.009) ; 
0.06777284720369839   T=5,K=2:  84494 (0.016) ; 65552 (0.014) ; 19546 (0.014) ; 22209 (0.013) ; 85306 (0.013) ; 8665 (0.012) ; 52571 (0.010) ; 27847 (0.010) ; 49933 (0.010) ; 110639 (0.010) ; 
0.030770590861324422   T=6,K=2:  84494 (0.018) ; 52571 (0.017) ; 65552 (0.016) ; 45996 (0.014) ; 31306 (0.012) ; 72273 (0.012) ; 4845 (0.011) ; 19546 (0.010) ; 27847 (0.009) ; 110639 (0.009) ; 
0.07879625003907823   T=7,K=2:  84494 (0.022) ; 52571 (0.018) ; 45996 (0.017) ; 72273 (0.016) ; 65552 (0.015) ; 8665 (0.009) ; nlsj61372 (0.009) ; 31306 (0.009) ; 85306 (0.008) ; 27847 (0.008) ; 
0.08508285860060687   T=8,K=2:  84494 (0.018) ; 65552 (0.015) ; 52571 (0.012) ; 72273 (0.011) ; 110639 (0.009) ; 8665 (0.008) ; 19546 (0.008) ; 45996 (0.008) ; 22209 (0.008) ; 85306 (0.008) ; 
0.10148831270029282   T=9,K=2:  84494 (0.028) ; 52571 (0.015) ; 110639 (0.009) ; 72273 (0.009) ; 68641 (0.009) ; 19546 (0.009) ; 72254 (0.009) ; 47735 (0.008) ; 85736 (0.008) ; 65552 (0.008) ; 
0.049131525833307696   T=10,K=2:  84494 (0.014) ; 52571 (0.013) ; 8665 (0.012) ; 72254 (0.011) ; 68641 (0.011) ; 45996 (0.010) ; 4845 (0.010) ; 65552 (0.010) ; 47735 (0.009) ; 11583 (0.009) ; 
0.05602528386633114   T=11,K=2:  52571 (0.019) ; 11583 (0.015) ; 4845 (0.015) ; 8665 (0.014) ; 75552 (0.013) ; 72254 (0.012) ; 84494 (0.011) ; 68641 (0.011) ; 65552 (0.010) ; 47735 (0.010) ; 
0.15194888030094586   T=12,K=2:  8665 (0.024) ; 72254 (0.021) ; 52571 (0.018) ; 27847 (0.017) ; 85736 (0.016) ; 74735 (0.016) ; 75552 (0.013) ; 47735 (0.012) ; 84422 (0.012) ; 4845 (0.012) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=2:  65552 (0.019) ; 84494 (0.015) ; 52571 (0.011) ; 85306 (0.011) ; 8665 (0.010) ; 45996 (0.010) ; 19546 (0.010) ; 27847 (0.009) ; 22209 (0.009) ; 4845 (0.009) ; 

0.01770193850864356   T=0,K=3:  31236 (0.032) ; 30700 (0.023) ; 104690 (0.021) ; 84494 (0.017) ; 83774 (0.013) ; 12252 (0.013) ; nlsj76838 (0.012) ; 45996 (0.012) ; nlsj8373 (0.011) ; 93522 (0.011) ; 
0.045274465195632586   T=1,K=3:  31236 (0.046) ; 84494 (0.021) ; 30700 (0.020) ; 97121 (0.015) ; nlsj76838 (0.013) ; 47735 (0.012) ; 45996 (0.012) ; 98584 (0.011) ; 104690 (0.011) ; 83774 (0.011) ; 
0.09332093240129985   T=2,K=3:  31236 (0.030) ; 104690 (0.019) ; 84494 (0.015) ; 47735 (0.015) ; 83774 (0.011) ; 30700 (0.011) ; 97121 (0.011) ; nlsj76838 (0.010) ; 75552 (0.010) ; nlsj96033 (0.009) ; 
0.055056757731143345   T=3,K=3:  31236 (0.020) ; 104690 (0.020) ; nlsj76838 (0.016) ; 97121 (0.014) ; 84494 (0.013) ; 47735 (0.012) ; 75552 (0.012) ; 12252 (0.011) ; 30700 (0.011) ; 45996 (0.011) ; 
0.07122349715401365   T=4,K=3:  104690 (0.019) ; 31236 (0.015) ; 84494 (0.015) ; 47735 (0.013) ; 97121 (0.012) ; 19546 (0.011) ; 90166 (0.010) ; 30700 (0.010) ; 75552 (0.010) ; nlsj76838 (0.009) ; 
0.04215640430070405   T=5,K=3:  31236 (0.021) ; 104690 (0.015) ; 84494 (0.014) ; nlsj76838 (0.013) ; 85306 (0.009) ; 45996 (0.009) ; 97812 (0.009) ; 66342 (0.008) ; 47735 (0.008) ; 70949 (0.008) ; 
0.06763732225390112   T=6,K=3:  31236 (0.019) ; 84494 (0.016) ; 104690 (0.011) ; 85306 (0.010) ; 60308 (0.008) ; 66342 (0.008) ; 45996 (0.008) ; 50236 (0.008) ; 47735 (0.008) ; 90504 (0.007) ; 
0.05876297114334184   T=7,K=3:  84494 (0.018) ; 85306 (0.016) ; 104690 (0.012) ; 47735 (0.009) ; 60308 (0.009) ; 90504 (0.009) ; 31236 (0.009) ; 45996 (0.008) ; 1083 (0.007) ; 75552 (0.007) ; 
0.05914585037829047   T=8,K=3:  85306 (0.029) ; 84494 (0.014) ; 104690 (0.011) ; 90166 (0.009) ; 75552 (0.008) ; 31236 (0.008) ; 90504 (0.008) ; nlsj2558 (0.008) ; 47735 (0.008) ; 28569 (0.007) ; 
