2299 documents , 1 concepts , 4352 context features (86219) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.1291862486116041   T=0,K=0:  86219 (0.027) ; 41018 (0.019) ; nlsj32160 (0.015) ; 28002 (0.014) ; 16051 (0.014) ; 84494 (0.014) ; 33304 (0.014) ; 72202 (0.012) ; 89796 (0.011) ; 43309 (0.011) ; 
0.13695373717827797   T=1,K=0:  16051 (0.023) ; 86219 (0.023) ; 41018 (0.018) ; 51373 (0.016) ; nlsj32160 (0.016) ; 33304 (0.016) ; 28002 (0.012) ; 77699 (0.011) ; 49875 (0.009) ; 72202 (0.009) ; 
0.1317464442132845   T=2,K=0:  16051 (0.022) ; 72202 (0.016) ; 33304 (0.015) ; 43309 (0.015) ; 28002 (0.015) ; 86219 (0.015) ; 56496 (0.014) ; 20621 (0.012) ; 45996 (0.011) ; nlsj32160 (0.011) ; 
0.08187258736264208   T=3,K=0:  16051 (0.015) ; 86219 (0.015) ; 45996 (0.013) ; nlsj32160 (0.012) ; 72202 (0.012) ; 46646 (0.011) ; 49875 (0.011) ; 43309 (0.011) ; 28002 (0.010) ; 46123 (0.010) ; 
0.07546716855923521   T=4,K=0:  43309 (0.018) ; nlsj32160 (0.017) ; 45996 (0.016) ; 72202 (0.016) ; 16051 (0.015) ; 86219 (0.013) ; 46123 (0.011) ; 65552 (0.011) ; 11583 (0.011) ; 41018 (0.010) ; 
0.03912608118701209   T=5,K=0:  45996 (0.020) ; 65552 (0.015) ; nlsj32160 (0.015) ; 72202 (0.014) ; 16051 (0.014) ; 43309 (0.013) ; 86219 (0.012) ; 22209 (0.012) ; 11583 (0.012) ; 84494 (0.010) ; 
0.05862419318048188   T=6,K=0:  45996 (0.024) ; 65552 (0.014) ; 20621 (0.013) ; 22209 (0.013) ; 16051 (0.012) ; 43309 (0.012) ; 89366 (0.011) ; 86219 (0.011) ; 62204 (0.010) ; 72202 (0.010) ; 
0.0600302505478153   T=7,K=0:  65552 (0.016) ; 22209 (0.015) ; 61265 (0.014) ; 45996 (0.013) ; 62204 (0.013) ; 63772 (0.011) ; 43309 (0.011) ; 46646 (0.009) ; 20621 (0.009) ; 72202 (0.009) ; 
0.06811871307452878   T=8,K=0:  22209 (0.023) ; 65552 (0.018) ; 45996 (0.017) ; 20621 (0.017) ; 43309 (0.014) ; 61265 (0.013) ; 68641 (0.010) ; 16051 (0.010) ; 23069 (0.009) ; 63772 (0.009) ; 
0.08563208465643762   T=9,K=0:  22209 (0.022) ; 20621 (0.021) ; 61265 (0.016) ; 45996 (0.016) ; 43309 (0.014) ; 16051 (0.012) ; 46123 (0.010) ; 63772 (0.009) ; 100990 (0.009) ; 65552 (0.009) ; 
0.04656730857663049   T=10,K=0:  20621 (0.022) ; 22209 (0.021) ; 45996 (0.015) ; 63772 (0.013) ; 61265 (0.012) ; 100990 (0.012) ; 70364 (0.011) ; 89366 (0.011) ; 46123 (0.010) ; 43309 (0.009) ; 
0.04188838802333524   T=11,K=0:  20621 (0.043) ; 61265 (0.014) ; 89366 (0.014) ; 22209 (0.012) ; 16051 (0.012) ; 100990 (0.011) ; 65552 (0.010) ; 45996 (0.010) ; 46646 (0.010) ; 49875 (0.009) ; 
0.021078012814117954   T=12,K=0:  20621 (0.027) ; 61265 (0.018) ; 22209 (0.014) ; 16051 (0.013) ; 23726 (0.013) ; 70364 (0.012) ; 100990 (0.012) ; 58429 (0.011) ; 45996 (0.011) ; 62204 (0.010) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  20621 (0.016) ; 45996 (0.014) ; 16051 (0.014) ; 22209 (0.013) ; 86219 (0.011) ; 43309 (0.011) ; 65552 (0.011) ; nlsj32160 (0.010) ; 72202 (0.010) ; 61265 (0.009) ; 

0.19705944978993228   T=0,K=1:  84494 (0.035) ; 86219 (0.027) ; 75552 (0.018) ; 24436 (0.015) ; 52332 (0.015) ; 86112 (0.013) ; 62204 (0.013) ; 71308 (0.013) ; 63772 (0.013) ; nlsj32160 (0.011) ; 
