470 documents , 1 concepts , 1904 context features (59339) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -700, end 142, times 9, dT 100, I 1000


map[]

===============  per type  ===============
1.6506202900379111e-06   T=0,K=0:  1872 (0.069) ; 68891 (0.059) ; 22100 (0.056) ; 15281 (0.034) ; 75954 (0.033) ; 63772 (0.030) ; 22209 (0.021) ; 101560 (0.021) ; 115413 (0.020) ; 11250 (0.019) ; 
1.1208167511779184e-06   T=1,K=0:  1872 (0.074) ; 68891 (0.060) ; 22100 (0.046) ; 75954 (0.039) ; 15281 (0.029) ; 115413 (0.024) ; 101560 (0.023) ; 68641 (0.019) ; 11250 (0.018) ; 63772 (0.016) ; 
1.0490854167189794e-06   T=2,K=0:  22100 (0.062) ; 1872 (0.053) ; 68891 (0.037) ; 15281 (0.036) ; 75954 (0.035) ; 11250 (0.020) ; 97115 (0.019) ; 25106 (0.017) ; 63772 (0.017) ; 98584 (0.017) ; 
1.2976814192737008e-06   T=3,K=0:  22100 (0.062) ; 1872 (0.050) ; 75954 (0.041) ; 68891 (0.031) ; 15281 (0.026) ; 101560 (0.024) ; 11250 (0.021) ; 22209 (0.021) ; 97115 (0.019) ; 47973 (0.017) ; 
1.1514490337967484e-06   T=4,K=0:  22100 (0.051) ; 1872 (0.040) ; 101560 (0.040) ; 22209 (0.033) ; 68891 (0.033) ; 75954 (0.031) ; 15281 (0.027) ; 11250 (0.026) ; 63772 (0.022) ; 84494 (0.019) ; 
1.6167283428774245e-06   T=5,K=0:  101560 (0.050) ; 22209 (0.042) ; 22100 (0.035) ; 1872 (0.035) ; 68641 (0.025) ; 15281 (0.025) ; 63772 (0.024) ; 68891 (0.023) ; 84494 (0.021) ; 93634 (0.018) ; 
2.0677755677678764e-06   T=6,K=0:  101560 (0.037) ; 22209 (0.035) ; 15281 (0.028) ; 1872 (0.028) ; 84494 (0.027) ; 93634 (0.027) ; 22100 (0.026) ; 68891 (0.021) ; 62204 (0.020) ; 63772 (0.019) ; 
1.6581798507643234e-06   T=7,K=0:  22209 (0.046) ; 46613 (0.030) ; 101560 (0.028) ; 22100 (0.026) ; 84494 (0.024) ; 15281 (0.022) ; 24847 (0.021) ; 68891 (0.020) ; 63772 (0.019) ; 115413 (0.019) ; 
2.004201782869926e-06   T=8,K=0:  22209 (0.050) ; 101560 (0.038) ; 46613 (0.036) ; 84494 (0.032) ; 91547 (0.024) ; 22100 (0.024) ; 1872 (0.020) ; 15281 (0.018) ; 68891 (0.017) ; 62204 (0.017) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  22100 (0.043) ; 1872 (0.043) ; 68891 (0.033) ; 22209 (0.031) ; 101560 (0.031) ; 15281 (0.027) ; 75954 (0.025) ; 63772 (0.020) ; 84494 (0.020) ; 11250 (0.017) ; 

