135 documents , 1 concepts , 716 context features (59339) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -354, end 363, times 8, dT 100, I 1000


map[]

===============  per type  ===============
0.010472750099284894   T=0,K=0:  nlsj87670 (0.129) ; nlsj1569 (0.049) ; 110639 (0.043) ; 45284 (0.039) ; 114548 (0.032) ; 19546 (0.031) ; 108536 (0.029) ; nlsj4113 (0.028) ; nlsj553 (0.023) ; 112833 (0.021) ; 
0.030345246613153087   T=1,K=0:  nlsj87670 (0.105) ; 110639 (0.047) ; 114548 (0.046) ; 108536 (0.042) ; 45284 (0.042) ; nlsj1569 (0.035) ; nlsj553 (0.031) ; nlsj4113 (0.030) ; 31333 (0.028) ; 19546 (0.025) ; 
0.012302014513222359   T=2,K=0:  nlsj87670 (0.100) ; 45284 (0.062) ; 110639 (0.055) ; 108536 (0.042) ; nlsj553 (0.038) ; 31333 (0.033) ; nlsj1569 (0.028) ; nlsj4113 (0.023) ; 19546 (0.023) ; 112833 (0.022) ; 
0.051249765850762415   T=3,K=0:  nlsj87670 (0.114) ; 45284 (0.084) ; 110639 (0.053) ; nlsj553 (0.050) ; 108536 (0.050) ; 112833 (0.030) ; 103922 (0.028) ; 31333 (0.026) ; nlsj1569 (0.024) ; nlsj59172 (0.019) ; 
0.05842544753925229   T=4,K=0:  nlsj87670 (0.075) ; 108536 (0.062) ; nlsj1569 (0.053) ; 45284 (0.047) ; 103922 (0.040) ; 31333 (0.038) ; nlsj553 (0.035) ; 110639 (0.027) ; 114548 (0.025) ; 101024 (0.025) ; 
0.08293729896129148   T=5,K=0:  nlsj87670 (0.073) ; 45284 (0.068) ; 108536 (0.064) ; 103922 (0.037) ; 101024 (0.037) ; nlsj1569 (0.036) ; nlsj553 (0.033) ; 114548 (0.029) ; 31333 (0.029) ; 74735 (0.028) ; 
0.009099869111306525   T=6,K=0:  45284 (0.090) ; nlsj87670 (0.062) ; nlsj1569 (0.058) ; 108536 (0.054) ; 103922 (0.050) ; 101024 (0.036) ; 74735 (0.027) ; nlsj553 (0.023) ; nlsj32160 (0.022) ; 110639 (0.022) ; 
3.893020899752285e-05   T=7,K=0:  45284 (0.087) ; 108536 (0.081) ; nlsj87670 (0.063) ; nlsj1569 (0.050) ; nlsj553 (0.033) ; 58789 (0.031) ; 8909 (0.030) ; 101024 (0.027) ; 103922 (0.024) ; 8865 (0.024) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  nlsj87670 (0.090) ; 45284 (0.065) ; 108536 (0.053) ; nlsj1569 (0.042) ; 110639 (0.035) ; nlsj553 (0.033) ; 103922 (0.027) ; 31333 (0.025) ; 101024 (0.024) ; 114548 (0.023) ; 

0.062497886692622934   T=0,K=1:  36093 (0.181) ; nlsj14870 (0.067) ; 81343 (0.058) ; 48909 (0.051) ; 41858 (0.048) ; 72627 (0.038) ; 34855 (0.026) ; 8983 (0.026) ; 110746 (0.024) ; nlsj34049 (0.023) ; 
0.11430380942270307   T=1,K=1:  36093 (0.190) ; nlsj14870 (0.067) ; 72627 (0.049) ; 48909 (0.045) ; 81343 (0.037) ; 41858 (0.037) ; 34855 (0.032) ; 110746 (0.029) ; 48291 (0.024) ; 8983 (0.022) ; 
0.03512892175436689   T=2,K=1:  36093 (0.130) ; 72627 (0.063) ; nlsj14870 (0.059) ; 48909 (0.033) ; 8983 (0.032) ; 31236 (0.032) ; 81343 (0.030) ; 34855 (0.029) ; 41858 (0.026) ; 62204 (0.025) ; 
0.21788096900094145   T=3,K=1:  36093 (0.084) ; 72627 (0.061) ; 31236 (0.051) ; nlsj14870 (0.047) ; 8983 (0.037) ; nlsj34049 (0.034) ; 48909 (0.032) ; 81343 (0.030) ; 62204 (0.028) ; 41858 (0.027) ; 
0.019002441768790783   T=4,K=1:  36093 (0.066) ; 81343 (0.046) ; 31236 (0.046) ; 72627 (0.043) ; nlsj14870 (0.040) ; 48909 (0.034) ; nlsj34049 (0.033) ; 62204 (0.033) ; 36229 (0.028) ; nlsj553 (0.026) ; 
0.03667274461492547   T=5,K=1:  36093 (0.077) ; nlsj14870 (0.052) ; nlsj34049 (0.036) ; 62204 (0.035) ; 31236 (0.034) ; 81343 (0.033) ; 49955 (0.032) ; 48909 (0.031) ; nlsj553 (0.029) ; 110746 (0.029) ; 
0.006199826776526531   T=6,K=1:  36093 (0.096) ; nlsj14870 (0.065) ; 49955 (0.039) ; 81343 (0.036) ; nlsj553 (0.034) ; 48909 (0.032) ; 31236 (0.029) ; 36229 (0.028) ; 62204 (0.027) ; 30080 (0.026) ; 
2.958644707256978e-05   T=7,K=1:  36093 (0.125) ; nlsj14870 (0.072) ; 81343 (0.048) ; 49955 (0.038) ; 44534 (0.032) ; nlsj553 (0.027) ; 31236 (0.027) ; 72627 (0.024) ; 62204 (0.023) ; 36229 (0.023) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  36093 (0.119) ; nlsj14870 (0.059) ; 72627 (0.041) ; 81343 (0.040) ; 48909 (0.035) ; 31236 (0.032) ; nlsj34049 (0.026) ; 49955 (0.026) ; 62204 (0.026) ; 110746 (0.023) ; 

