39 documents , 1 concepts , 261 context features (59339) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -395, end 142, times 6, dT 100, I 1000


map[]

===============  per type  ===============
0.02273213521354757   T=0,K=0:  24668 (0.344) ; 114753 (0.304) ; 1564 (0.100) ; 85724 (0.066) ; 42214 (0.047) ; 40153 (0.026) ; 99463 (0.025) ; 51647 (0.016) ; 45996 (0.010) ; 46613 (0.007) ; 
0.00840760862185847   T=1,K=0:  114753 (0.329) ; 24668 (0.309) ; 85724 (0.098) ; 1564 (0.089) ; 42214 (0.045) ; 99463 (0.026) ; 40153 (0.023) ; 51647 (0.012) ; 45996 (0.010) ; 83774 (0.006) ; 
0.0033037884879791334   T=2,K=0:  114753 (0.470) ; 24668 (0.199) ; 85724 (0.106) ; 1564 (0.067) ; 40153 (0.031) ; 42214 (0.026) ; 99463 (0.024) ; 45996 (0.014) ; 51647 (0.008) ; 83774 (0.006) ; 
0.005238344411879307   T=3,K=0:  114753 (0.563) ; 24668 (0.140) ; 85724 (0.091) ; 1564 (0.052) ; 40153 (0.047) ; 42214 (0.018) ; 99463 (0.016) ; 45996 (0.013) ; 51647 (0.008) ; 46613 (0.007) ; 
0.00741338846993789   T=4,K=0:  114753 (0.490) ; 24668 (0.180) ; 85724 (0.131) ; 40153 (0.049) ; 1564 (0.029) ; 99463 (0.024) ; 42214 (0.023) ; 45996 (0.013) ; 51647 (0.007) ; 11305 (0.004) ; 
0.013875244673443858   T=5,K=0:  114753 (0.552) ; 24668 (0.176) ; 85724 (0.079) ; 40153 (0.038) ; 99463 (0.036) ; 1564 (0.024) ; 42214 (0.019) ; 45996 (0.014) ; 51647 (0.009) ; 89405 (0.004) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=0:  114753 (0.451) ; 24668 (0.225) ; 85724 (0.095) ; 1564 (0.060) ; 40153 (0.036) ; 42214 (0.030) ; 99463 (0.025) ; 45996 (0.012) ; 51647 (0.010) ; 46613 (0.005) ; 

0.07383500706282664   T=0,K=1:  31565 (0.127) ; 59295 (0.090) ; 26887 (0.074) ; 9143 (0.046) ; 76703 (0.045) ; 10581 (0.037) ; 11106 (0.036) ; 96082 (0.034) ; 45996 (0.033) ; 34450 (0.031) ; 
0.16763169090656066   T=1,K=1:  31565 (0.132) ; 59295 (0.085) ; 11106 (0.065) ; 10581 (0.053) ; 26887 (0.051) ; 34450 (0.043) ; 9143 (0.040) ; 76703 (0.037) ; nlsj107632 (0.035) ; 4845 (0.031) ; 
