785 documents , 1 concepts , 1744 context features (15047) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 8, max_docs_per_slice 2000, start -488, end 400, times 45, dT 20, I 100


map[]

===============  per type  ===============
0.5484731934328546   T=0,K=0:  4490 (0.058) ; 94694 (0.018) ; 46568 (0.016) ; 1564 (0.015) ; 74126 (0.015) ; 56991 (0.012) ; 65552 (0.012) ; 106696 (0.011) ; 45996 (0.010) ; 38466 (0.010) ; 
0.34560741537619843   T=1,K=0:  4490 (0.044) ; 45996 (0.016) ; 74126 (0.014) ; 56991 (0.014) ; 46568 (0.012) ; 38466 (0.012) ; 65552 (0.012) ; 94694 (0.011) ; nlsj89813 (0.011) ; 79904 (0.009) ; 
0.2674840858842264   T=2,K=0:  4490 (0.033) ; 94694 (0.015) ; 74126 (0.014) ; 46568 (0.012) ; 38466 (0.012) ; 45996 (0.011) ; 65552 (0.010) ; 114753 (0.009) ; 79904 (0.009) ; 40462 (0.008) ; 
0.27940444066757886   T=3,K=0:  4490 (0.024) ; 65552 (0.019) ; 74126 (0.016) ; 38466 (0.015) ; 79904 (0.013) ; 114753 (0.012) ; 46568 (0.011) ; 94694 (0.011) ; 40462 (0.010) ; 45996 (0.010) ; 
0.1528039544720058   T=4,K=0:  79904 (0.019) ; 4490 (0.019) ; 65552 (0.018) ; 74126 (0.016) ; 38466 (0.015) ; 67225 (0.012) ; 67230 (0.010) ; 80033 (0.010) ; 46568 (0.009) ; 114753 (0.009) ; 
0.16427571381892134   T=5,K=0:  65552 (0.025) ; 79904 (0.017) ; 4490 (0.016) ; 67230 (0.014) ; 40462 (0.012) ; 80033 (0.012) ; 74126 (0.010) ; 38466 (0.010) ; 45996 (0.009) ; 94694 (0.009) ; 
0.11835893545600071   T=6,K=0:  79904 (0.019) ; 80033 (0.019) ; 4490 (0.015) ; 65552 (0.015) ; 67225 (0.014) ; 74126 (0.013) ; 67230 (0.013) ; 38466 (0.010) ; 71882 (0.009) ; 67260 (0.009) ; 
0.02569268676995869   T=7,K=0:  80033 (0.025) ; 74126 (0.025) ; 67225 (0.021) ; 65552 (0.018) ; 4490 (0.017) ; 97502 (0.016) ; 79904 (0.014) ; 56991 (0.012) ; 67230 (0.012) ; 71882 (0.010) ; 
0.029821194083181683   T=8,K=0:  65552 (0.026) ; 80033 (0.023) ; 74126 (0.021) ; 67230 (0.021) ; 79904 (0.019) ; 97502 (0.018) ; 56991 (0.017) ; 67225 (0.017) ; 106566 (0.016) ; 4490 (0.014) ; 
0.0375642644714948   T=9,K=0:  65552 (0.036) ; 74126 (0.032) ; 80033 (0.028) ; 67230 (0.023) ; 79904 (0.020) ; 97502 (0.020) ; 67225 (0.017) ; 67260 (0.015) ; 106566 (0.014) ; 71882 (0.013) ; 
